id,si,gu,dong,bunji,mainBun,subBun,apartmentName,size,floor,yearBuilt,address
58,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,84.94,8,2000,전농로10길
59,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,114.76,9,2000,전농로10길
60,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,84.94,7,2000,전농로10길
61,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,59.74,12,2000,전농로10길
62,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,114.76,24,2000,전농로10길
63,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,59.89,23,2000,전농로10길
64,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,84.94,9,2000,전농로10길
65,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,59.74,16,2000,전농로10길
66,서울특별시,동대문구,답십리동,80,80,0,답십리청솔우성,59.74,9,2000,전농로10길
67,서울특별시,동대문구,답십리동,994,994,0,답십리한화,84.86,7,2001,고미술로
68,서울특별시,동대문구,답십리동,994,994,0,답십리한화,84.86,16,2001,고미술로
69,서울특별시,동대문구,답십리동,994,994,0,답십리한화,84.86,17,2001,고미술로
70,서울특별시,동대문구,답십리동,994,994,0,답십리한화,84.86,6,2001,고미술로
71,서울특별시,동대문구,답십리동,994,994,0,답십리한화,84.86,11,2001,고미술로
72,서울특별시,동대문구,답십리동,808,808,0,대림,114.9,18,2003,답십리로60길
73,서울특별시,동대문구,답십리동,808,808,0,대림,84.66,3,2003,답십리로60길
74,서울특별시,동대문구,답십리동,808,808,0,대림,84.66,12,2003,답십리로60길
75,서울특별시,동대문구,답십리동,808,808,0,대림,59.65,1,2003,답십리로60길
76,서울특별시,동대문구,답십리동,808,808,0,대림,59.65,7,2003,답십리로60길
77,서울특별시,동대문구,답십리동,808,808,0,대림,59.65,9,2003,답십리로60길
78,서울특별시,동대문구,답십리동,808,808,0,대림,59.65,2,2003,답십리로60길
79,서울특별시,동대문구,답십리동,808,808,0,대림,84.66,9,2003,답십리로60길
80,서울특별시,동대문구,답십리동,808,808,0,대림,84.66,9,2003,답십리로60길
81,서울특별시,동대문구,답십리동,42,42,0,동답한신,59.22,5,1992,답십리로
82,서울특별시,동대문구,답십리동,42,42,0,동답한신,59.22,7,1992,답십리로
83,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,2,1992,답십리로
84,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,3,1992,답십리로
85,서울특별시,동대문구,답십리동,42,42,0,동답한신,82.39,9,1992,답십리로
86,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,6,1992,답십리로
87,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,1,1992,답십리로
88,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,3,1992,답십리로
89,서울특별시,동대문구,답십리동,42,42,0,동답한신,96.4,1,1992,답십리로
90,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,13,1992,답십리로
91,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,5,1992,답십리로
92,서울특별시,동대문구,답십리동,42,42,0,동답한신,59.22,10,1992,답십리로
93,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,15,1992,답십리로
94,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,6,1992,답십리로
95,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,5,1992,답십리로
96,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,6,1992,답십리로
97,서울특별시,동대문구,답십리동,42,42,0,동답한신,82.39,13,1992,답십리로
98,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,15,1992,답십리로
99,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,6,1992,답십리로
100,서울특별시,동대문구,답십리동,42,42,0,동답한신,96.4,11,1992,답십리로
101,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,6,1992,답십리로
102,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,2,1992,답십리로
103,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,15,1992,답십리로
104,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,1,1992,답십리로
105,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,9,1992,답십리로
106,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,13,1992,답십리로
107,서울특별시,동대문구,답십리동,42,42,0,동답한신,96.4,5,1992,답십리로
108,서울특별시,동대문구,답십리동,42,42,0,동답한신,44.35,4,1992,답십리로
109,서울특별시,동대문구,답십리동,42,42,0,동답한신,35.45,7,1992,답십리로
110,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,7,1989,답십리로
111,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,8,1989,답십리로
112,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,9,1989,답십리로
113,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,4,1989,답십리로
114,서울특별시,동대문구,답십리동,41,41,0,동서울한양,59.67,10,1989,답십리로
115,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,4,1989,답십리로
116,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,9,1989,답십리로
117,서울특별시,동대문구,답십리동,41,41,0,동서울한양,76.41,3,1989,답십리로
118,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,3,2001,한천로11길
119,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,9,2001,한천로11길
120,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,14,2001,한천로11길
121,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,4,2001,한천로11길
122,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,10,2001,한천로11길
123,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,7,2001,한천로11길
124,서울특별시,동대문구,답십리동,10,10,0,동아,114.84,2,2001,한천로11길
125,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,1,2001,한천로11길
126,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,22,2001,한천로11길
127,서울특별시,동대문구,답십리동,10,10,0,동아,114.84,14,2001,한천로11길
128,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,2,2001,한천로11길
129,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,9,2001,한천로11길
130,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,4,2001,한천로11길
131,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,4,2001,한천로11길
132,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,5,2001,한천로11길
133,서울특별시,동대문구,답십리동,10,10,0,동아,101.94,6,2001,한천로11길
134,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,8,2001,한천로11길
135,서울특별시,동대문구,답십리동,10,10,0,동아,101.94,1,2001,한천로11길
136,서울특별시,동대문구,답십리동,10,10,0,동아,114.84,3,2001,한천로11길
137,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,2,2001,한천로11길
138,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,1,2001,한천로11길
139,서울특별시,동대문구,답십리동,10,10,0,동아,114.84,2,2001,한천로11길
140,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,18,2001,한천로11길
141,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,6,2001,한천로11길
142,서울특별시,동대문구,답십리동,10,10,0,동아,59.88,19,2001,한천로11길
143,서울특별시,동대문구,답십리동,10,10,0,동아,101.94,21,2001,한천로11길
144,서울특별시,동대문구,답십리동,10,10,0,동아,101.94,10,2001,한천로11길
145,서울특별시,동대문구,답십리동,10,10,0,동아,114.84,9,2001,한천로11길
146,서울특별시,동대문구,답십리동,10,10,0,동아,84.72,12,2001,한천로11길
147,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,10,2000,답십리로56길
148,서울특별시,동대문구,답십리동,990,990,0,두산,114.97,1,2000,답십리로56길
149,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,2,2000,답십리로56길
150,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,4,2000,답십리로56길
151,서울특별시,동대문구,답십리동,990,990,0,두산,84.83,21,2000,답십리로56길
152,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,5,2000,답십리로56길
153,서울특별시,동대문구,답십리동,990,990,0,두산,114.97,9,2000,답십리로56길
154,서울특별시,동대문구,답십리동,990,990,0,두산,84.83,10,2000,답십리로56길
